year,Air transport,Rail transport,Industrial development,Power generation/non-renewable sources ,RESCHEDULING AND REFINANCING,Import support (capital goods),Social/ welfare services,Telecommunications,Power generation/renewable sources,Mineral/Metal prospection and exploration
1973,0,95.792628,200.776443,27.825666,0,291.886347,0,95.792628,0,0
1974,15.256725,42.563758,153.995109,39.88053,0,227.194054,0,42.563758,124.861445,5.135311
1975,15.829434,60.080677,141.256857,33.166434,0,282.632241,0,60.080677,0,11.841107
1976,0,65.859994,180.72957,0,0,154.515986,22.193818,65.859994,258.500419,0.046994
1977,0.704628,0,352.52366,0,0,253.556338,0,0,348.718518,20.846552
1978,0,0,106.052778,95.676536,0,18.579093,179.918453,0,105.991262,0
1979,73.420234,57.275683,308.650682,0,0,264.125863,13.638901,57.275683,0,33.750525
1980,3088.274857,21.776984,816.33578,1584.877308,0,0,26.97234,21.776984,110.811408,259.987614
1981,4768.108479,230.395196,634.174424,1096.016261,0,40.653634,0.644673,230.395196,240.636248,713.107244
1982,514.466891,302.371098,1370.602905,699.994088,0,113.498832,31.65472,302.371098,484.434111,1117.571002
1983,218.13401,441.78096,334.406639,211.715759,0,86.619358,24.671997,441.78096,25.073823,513.432426
1984,976.488278,475.235242,1088.866239,680.944122,0,90.227902,19.76681,475.235242,479.805457,632.576576
1985,287.676519,134.596484,940.204559,182.940134,1014.259163,77.954263,33.496454,134.596484,53.70314,605.384859
1986,695.11315,34.843304,625.537865,102.087624,0,44.726766,14.344384,34.843304,164.769263,737.079395
1987,1012.887955,85.117635,380.313458,51.448529,0,60.164507,11.481589,85.117635,107.755657,679.626885
1988,96.497158,107.365899,906.410888,390.801061,0,138.310066,7.938535,107.365899,0,354.874165
1989,98.465542,73.959565,388.659858,42.742542,2606.246263,0,22.345362,73.959565,910.336207,431.006385
1990,254.913681,938.279048,887.708073,70.680811,2768.322374,50.64879,72.342785,938.279048,7.572945,21.516183
1991,310.459678,185.736779,1289.41357,3.767416,0,163.177723,24.186026,185.736779,66.239728,489.983384
1992,1771.359012,90.394219,1885.616356,1494.675086,8344.866729,7482.017761,146.417259,90.394219,44.999636,406.513708
1993,2121.584979,341.385289,1689.134694,388.132738,63.809098,49.16861,35.408778,341.385289,90.780001,36.729398
1994,4211.207268,167.636496,1595.56768,1606.34596,0,0,58.670556,167.636496,195.628395,28.010396
1995,497.807763,172.767802,679.756647,770.605554,0,0,111.991116,172.767802,518.37438,255.739191
1996,742.750235,391.229602,829.747151,919.658202,0,0,93.499965,391.229602,120.338108,293.652853
1997,1605.192456,694.79874,766.376994,1291.9678,0,0,71.418576,694.79874,470.215385,303.809928
1998,634.116769,657.668408,308.069616,961.929323,0,0,212.56294,657.668408,12.774435,0.087206
1999,5896.935547,800.042829,40.875883,560.713336,0,0,118.053361,800.042829,158.385618,83.138567
2000,3089.373356,535.115398,141.462184,3.523908,0,0,1419.058679,535.115398,5.131051,134.802462
2001,2461.432288,78.742572,494.144961,425.30689,0,0,418.391339,78.742572,204.411855,2.279474
2002,3409.273587,317.903789,29.064744,308.877253,0,0,189.193002,317.903789,47.637502,18.213538
2003,1.60519,386.716108,32.437533,505.564994,0,74.620674,413.408249,386.716108,16.126597,6.453025
2004,513.119049,678.991354,7.331241,1.350242,0,0,796.312991,678.991354,458.28992,1.054547
2005,410.669869,223.491419,6.703637,185.195321,0,0,766.717891,223.491419,182.849973,11.289609
2006,0.278918,697.248639,9.213317,0.616036,0,0,1499.146442,697.248639,223.553347,1.474041
2007,0.777396,161.756943,2.652404,0.132164,0,0,395.077858,161.756943,15.479641,1.498063
2008,0.947246,1945.744781,5.278467,0.888204,0,0.07154,709.105782,1945.744781,181.08315,1.137705
2009,2.20665,1726.078347,7.334558,86.235329,0,0,709.783323,1726.078347,242.645248,0.552446
2010,1.015388,2769.998813,78.456408,1.612781,0,0.001896,260.603166,2769.998813,178.425707,0
2011,4.105579,436.777967,15.188216,0.200948,0,0,128.044941,436.777967,1036.425472,1.217712
2012,4.397101,1619.976788,2.569208,49.672035,0,0,70.213003,1619.976788,389.71152,0.54557
2013,5.627464,2251.372351,4.937413,250.838515,0,0,78.053299,2251.372351,336.23847,2.839501
