year,Air transport,Rail transport,Industrial development,Power generation/non-renewable sources ,RESCHEDULING AND REFINANCING,Import support (capital goods),Social/ welfare services,Telecommunications,Power generation/renewable sources,Mineral/Metal prospection and exploration
1973,0,95792628,200776443,27825666,0,291886347,0,95792628,0,0
1974,15256725,42563758,153995109,39880530,0,227194054,0,42563758,124861445,5135311
1975,15829434,60080677,141256857,33166434,0,282632241,0,60080677,0,11841107
1976,0,65859994,180729570,0,0,154515986,22193818,65859994,258500419,46994
1977,704628,0,352523660,0,0,253556338,0,0,348718518,20846552
1978,0,0,106052778,95676536,0,18579093,179918453,0,105991262,0
1979,73420234,57275683,308650682,0,0,264125863,13638901,57275683,0,33750525
1980,3088274857,21776984,816335780,1584877308,0,0,26972340,21776984,110811408,259987614
1981,4768108479,230395196,634174424,1096016261,0,40653634,644673,230395196,240636248,713107244
1982,514466891,302371098,1370602905,699994088,0,113498832,31654720,302371098,484434111,1117571002
1983,218134010,441780960,334406639,211715759,0,86619358,24671997,441780960,25073823,513432426
1984,976488278,475235242,1088866239,680944122,0,90227902,19766810,475235242,479805457,632576576
1985,287676519,134596484,940204559,182940134,1014259163,77954263,33496454,134596484,53703140,605384859
1986,695113150,34843304,625537865,102087624,0,44726766,14344384,34843304,164769263,737079395
1987,1012887955,85117635,380313458,51448529,0,60164507,11481589,85117635,107755657,679626885
1988,96497158,107365899,906410888,390801061,0,138310066,7938535,107365899,0,354874165
1989,98465542,73959565,388659858,42742542,2606246263,0,22345362,73959565,910336207,431006385
1990,254913681,938279048,887708073,70680811,2768322374,50648790,72342785,938279048,7572945,21516183
1991,310459678,185736779,1289413570,3767416,0,163177723,24186026,185736779,66239728,489983384
1992,1771359012,90394219,1885616356,1494675086,8344866729,7482017761,146417259,90394219,44999636,406513708
1993,2121584979,341385289,1689134694,388132738,63809098,49168610,35408778,341385289,90780001,36729398
1994,4211207268,167636496,1595567680,1606345960,0,0,58670556,167636496,195628395,28010396
1995,497807763,172767802,679756647,770605554,0,0,111991116,172767802,518374380,255739191
1996,742750235,391229602,829747151,919658202,0,0,93499965,391229602,120338108,293652853
1997,1605192456,694798740,766376994,1291967800,0,0,71418576,694798740,470215385,303809928
1998,634116769,657668408,308069616,961929323,0,0,212562940,657668408,12774435,87206
1999,5896935547,800042829,40875883,560713336,0,0,118053361,800042829,158385618,83138567
2000,3089373356,535115398,141462184,3523908,0,0,1419058679,535115398,5131051,134802462
2001,2461432288,78742572,494144961,425306890,0,0,418391339,78742572,204411855,2279474
2002,3409273587,317903789,29064744,308877253,0,0,189193002,317903789,47637502,18213538
2003,1605190,386716108,32437533,505564994,0,74620674,413408249,386716108,16126597,6453025
2004,513119049,678991354,7331241,1350242,0,0,796312991,678991354,458289920,1054547
2005,410669869,223491419,6703637,185195321,0,0,766717891,223491419,182849973,11289609
2006,278918,697248639,9213317,616036,0,0,1499146442,697248639,223553347,1474041
2007,777396,161756943,2652404,132164,0,0,395077858,161756943,15479641,1498063
2008,947246,1945744781,5278467,888204,0,71540,709105782,1945744781,181083150,1137705
2009,2206650,1726078347,7334558,86235329,0,0,709783323,1726078347,242645248,552446
2010,1015388,2769998813,78456408,1612781,0,1896,260603166,2769998813,178425707,0
2011,4105579,436777967,15188216,200948,0,0,128044941,436777967,1036425472,1217712
2012,4397101,1619976788,2569208,49672035,0,0,70213003,1619976788,389711520,545570
2013,5627464,2251372351,4937413,250838515,0,0,78053299,2251372351,336238470,2839501
