Slider,x,second
1973,United Arab Emirates,0.065097
1973,Saudi Arabia,0.065097
1973,Kuwait,0.325483
1973,Cyprus,9.613414
1973,Chile,88.056078
1973,Thailand,206.363405
1973,Brazil,312.075045
1973,Colombia,549.944785
1973,Korea,1363.706959
1973,India,2285.256534
1974,Taiwan,0.115048
1974,Cyprus,16.432279
1974,Colombia,203.545814
1974,Chile,257.689227
1974,Brazil,306.601048
1974,Thailand,867.668418
1974,Korea,1455.639048
1974,India,3697.747278
1975,Cyprus,5.864941
1975,Brazil,100.725686
1975,Colombia,145.779156
1975,Korea,299.226023
1975,Thailand,333.639956
1975,Chile,365.408442
1975,India,3000.656166
1976,Cyprus,31.022257
1976,Brazil,83.580485
1976,Thailand,110.042103
1976,Colombia,143.082677
1976,Chile,155.551297
1976,Korea,938.952566
1976,India,2233.586413
1977,Taiwan,0.163198
1977,Chile,2.568149
1977,United Arab Emirates,3.599299
1977,Cyprus,20.945184
1977,Colombia,67.799905
1977,Korea,418.471898
1977,Brazil,501.438883
1977,Thailand,715.883953
1977,India,3197.135157
1978,Cyprus,0.046647
1978,Saudi Arabia,0.622892
1978,Chile,4.418418
1978,Colombia,54.438681
1978,Brazil,151.531351
1978,Korea,801.254989
1978,Thailand,859.278853
1978,India,2927.325215
1979,Saudi Arabia,12.01422
1979,Colombia,15.388003
1979,Cyprus,15.837039
1979,Chile,49.451759
1979,Korea,146.708076
1979,Brazil,167.462062
1979,Thailand,1283.439829
1979,India,1622.748901
1980,United Arab Emirates,0.174742
1980,Portugal,4.13616
1980,New Zealand,11.703716
1980,Chile,17.218386
1980,Iceland,18.060045
1980,Ireland,30.268231
1980,Sweden,35.282669
1980,Norway,43.725131
1980,Romania,44.381441
1980,Australia,54.50226
1980,Poland,75.000451
1980,Cyprus,87.110643
1980,Denmark,104.288895
1980,Greece,115.371982
1980,France,116.609845
1980,Saudi Arabia,120.375527
1980,Belgium,147.8685
1980,Austria,157.632201
1980,Colombia,257.368296
1980,Japan,264.768921
1980,Spain,285.026867
1980,Taiwan,374.058844
1980,Brazil,397.591374
1980,United Kingdom,399.202551
1980,Canada,531.674896
1980,Italy,894.504816
1980,Thailand,902.852253
1980,Korea,2625.763424
1980,India,2968.245303
1981,Poland,0.03541
1981,Kuwait,0.078425
1981,Austria,0.163916
1981,United Arab Emirates,1.813286
1981,Italy,3.585196
1981,Liechtenstein,18.26437
1981,Sweden,24.474486
1981,Chile,24.802202
1981,Greece,26.046686
1981,Belgium,36.477733
1981,Ireland,58.605044
1981,Cyprus,110.234644
1981,France,120.922782
1981,Norway,130.936843
1981,Portugal,144.76531
1981,Colombia,176.100059
1981,Spain,199.457361
1981,Romania,262.077414
1981,Taiwan,312.886996
1981,Saudi Arabia,409.548081
1981,Japan,446.92076
1981,United Kingdom,558.141413
1981,Australia,747.648005
1981,Brazil,1019.510084
1981,Thailand,1178.204797
1981,Korea,1656.173571
1981,Canada,2540.405789
1981,India,3706.661088
1982,Poland,0.070326
1982,Italy,0.663971
1982,United Arab Emirates,0.936588
1982,Australia,2.59945
1982,Chile,25.718071
1982,Cyprus,31.348629
1982,Austria,58.590672
1982,Norway,63.586018
1982,Spain,77.22758
1982,Canada,170.174807
1982,Saudi Arabia,197.083911
1982,New Zealand,213.884594
1982,Korea,216.083049
1982,Brazil,577.695039
1982,Taiwan,617.069786
1982,Colombia,1228.919949
1982,Thailand,1595.007194
1982,India,2822.105457
1983,Poland,0.063282
1983,United Arab Emirates,0.598545
1983,Chile,33.869655
1983,Cyprus,51.405078
1983,Taiwan,54.105626
1983,Finland,70.538468
1983,Colombia,110.714529
1983,Brazil,129.429939
1983,Italy,147.595542
1983,Saudi Arabia,206.745775
1983,Korea,665.624126
1983,Thailand,1165.432587
1983,India,2653.699004
1984,United Arab Emirates,0.505928
1984,Portugal,1.82651
1984,Finland,26.553629
1984,Saudi Arabia,59.201063
1984,Denmark,62.021691
1984,Cyprus,79.282641
1984,Canada,153.022875
1984,Japan,166.832089
1984,Colombia,204.495135
1984,Taiwan,247.894043
1984,Chile,314.012953
1984,Italy,551.936148
1984,Brazil,643.593148
1984,Korea,891.180603
1984,Thailand,1135.099078
1984,India,4584.531386
1985,Kuwait,0.52441
1985,Taiwan,28.782961
1985,Hungary,31.296368
1985,Saudi Arabia,35.529584
1985,Greece,36.819257
1985,Cyprus,39.214175
1985,United Arab Emirates,136.260119
1985,Japan,269.876498
1985,Chile,624.81134
1985,Colombia,835.091486
1985,Korea,907.605958
1985,Poland,1014.259163
1985,Brazil,1150.188786
1985,Thailand,1151.123605
1985,India,1837.835819
1986,Poland,7.204596
1986,Taiwan,21.795291
1986,Portugal,21.863247
1986,Saudi Arabia,36.516861
1986,Cyprus,56.716357
1986,Finland,83.529726
1986,Korea,119.590826
1986,Chile,123.522992
1986,Japan,130.559708
1986,Colombia,310.212012
1986,Brazil,398.238987
1986,Thailand,762.121484
1986,India,3003.947484
1987,Taiwan,14.965414
1987,Cyprus,29.088415
1987,Chile,62.625327
1987,Colombia,74.058995
1987,South Africa,105.825534
1987,United Arab Emirates,131.76027
1987,Korea,482.793059
1987,Japan,525.123264
1987,Brazil,688.641987
1987,Thailand,1016.033769
1987,India,4191.375895
1988,South Africa,0.110849
1988,Portugal,2.538321
1988,Qatar,9.137956
1988,Poland,11.464751
1988,Taiwan,29.459009
1988,Kuwait,30.421288
1988,Greece,37.727914
1988,Saudi Arabia,42.431775
1988,Cyprus,60.836704
1988,Chile,73.33155
1988,Colombia,234.020126
1988,Brazil,319.508348
1988,Korea,438.174916
1988,Thailand,1297.612686
1988,India,3844.238228
1989,Hungary,1.48225
1989,Canada,1.961661
1989,Qatar,2.9491
1989,Romania,5.092048
1989,Cyprus,32.61281
1989,Taiwan,75.026666
1989,Chile,152.22926
1989,Colombia,200.318505
1989,Korea,233.488453
1989,South Africa,320.399942
1989,Brazil,470.795753
1989,Thailand,626.032718
1989,Poland,2608.739881
1989,India,3091.093501
1990,Kuwait,0.001568
1990,Romania,0.299897
1990,Latvia,0.54306
1990,Czech Republic,0.549039
1990,Cyprus,11.768247
1990,Ireland,46.238132
1990,Chile,260.281186
1990,South Africa,271.828896
1990,Hungary,315.616677
1990,Colombia,539.309295
1990,Brazil,546.41016
1990,Korea,1095.572646
1990,Thailand,1790.643316
1990,India,2036.236423
1990,Poland,3069.497876
1991,Latvia,0.398476
1991,Lithuania,0.455029
1991,Estonia,0.990684
1991,Romania,2.904763
1991,Taiwan,5.446049
1991,Ireland,6.065209
1991,Kuwait,10.244282
1991,Cyprus,24.108788
1991,Korea,39.850875
1991,South Africa,64.650922
1991,Saudi Arabia,89.458009
1991,Greece,303.412067
1991,Poland,326.279481
1991,Czech Republic,392.264026
1991,Colombia,484.986642
1991,Chile,575.85975
1991,Hungary,624.227866
1991,Brazil,1398.521154
